Summary,Issue Type,Priority,Description,Epic Link,Story Points,Labels,Component,Assignee,Reporter,Sprint,Status,Original Estimate
[EPIC] Analyse et Détection d'Erreurs,Epic,High,"Vision: Permettre au système d'analyser automatiquement le code source et de détecter les erreurs courantes (syntaxe, logique, style).

Objectif Principal: Fournir un moteur d'analyse robuste capable d'identifier rapidement les problèmes dans le code des étudiants.

Valeur Métier: Gagner du temps pour les enseignants en automatisant la première phase de correction.

Hypothèses:
- Le système supporte Python 3.8+
- Les fichiers font moins de 1000 lignes
- Temps de traitement < 5 secondes

Risques:
- Complexité des AST
- Faux positifs
- Performance sur gros fichiers",,34,"epic,analyse,detection",Backend,,,,To Do,
[EPIC] Correction Automatique,Epic,High,"Vision: Fournir des suggestions de correction automatique intelligentes pour les erreurs détectées.

Objectif Principal: Permettre aux étudiants de corriger rapidement leur code avec des suggestions contextuelles.

Valeur Métier: Accélérer l'apprentissage en fournissant un feedback immédiat et actionnable.

Hypothèses:
- Les corrections proposées sont valides à 95%
- L'étudiant peut accepter/refuser les suggestions
- Prévisualisation avant application

Risques:
- Corrections incorrectes
- Complexité des refactorings
- Régression de code fonctionnel",,21,"epic,correction,automation",Backend,,,,To Do,
[EPIC] Feedback Pédagogique,Epic,Medium,"Vision: Générer des retours personnalisés et pédagogiques pour aider les étudiants à progresser.

Objectif Principal: Créer un système de feedback intelligent qui s'adapte au niveau de l'étudiant.

Valeur Métier: Améliorer l'engagement des étudiants et mesurer leur évolution dans le temps.

Hypothèses:
- Les données de progression sont stockées
- Les étudiants consultent régulièrement leur dashboard
- Les métriques sont motivantes

Risques:
- Surcharge d'informations
- Comparaisons démotivantes
- Protection des données personnelles",,21,"epic,feedback,pedagogie",Frontend,,,,To Do,
[EPIC] Infrastructure et DevOps,Epic,Medium,"Vision: Mettre en place une infrastructure robuste et scalable pour héberger l'application.

Objectif Principal: Garantir la disponibilité, performance et sécurité de l'application.

Valeur Métier: Assurer une expérience utilisateur fluide et fiable.

Hypothèses:
- Déploiement cloud (AWS/Azure/GCP)
- CI/CD automatisé
- Monitoring 24/7

Risques:
- Coûts d'infrastructure
- Complexité DevOps
- Temps de déploiement",,13,"epic,infrastructure,devops",DevOps,,,,To Do,
[US] Parser le Code Source Python,Story,High,"En tant que système, je veux parser le code source Python afin de créer un AST (Abstract Syntax Tree) exploitable.

Critères d'acceptation:
- Le système peut lire un fichier .py depuis le système de fichiers
- Un AST est généré avec succès pour du code valide
- Les erreurs de parsing sont capturées et reportées clairement
- Supporte Python 3.8, 3.9, 3.10, 3.11
- Gestion des encodages (UTF-8, ASCII, Latin-1)
- Temps de parsing < 1 seconde pour 500 lignes

Notes techniques:
- Utiliser le module 'ast' de Python
- Gérer les exceptions SyntaxError
- Encoder les positions des erreurs (ligne, colonne)",[EPIC] Analyse et Détection d'Erreurs,5,"user-story,parsing,ast",Backend,,,,To Do,8h
[US] Détecter les Erreurs de Syntaxe,Story,High,"En tant qu'enseignant, je veux que les erreurs de syntaxe soient détectées afin de les signaler clairement aux étudiants.

Critères d'acceptation:
- Les parenthèses/crochets/accolades non fermés sont détectés
- Les indentations incorrectes sont identifiées
- La position exacte de l'erreur est fournie (ligne, colonne)
- Un message d'erreur clair et pédagogique est généré
- Détection des deux-points manquants (if, for, def, etc.)
- Identification des quotes non fermées",[EPIC] Analyse et Détection d'Erreurs,3,"user-story,syntax,validation",Backend,,,,To Do,5h
[US] Identifier les Variables Non Définies,Story,High,"En tant que système, je veux détecter les variables utilisées mais non définies afin d'éviter les erreurs NameError à l'exécution.

Critères d'acceptation:
- Les variables utilisées mais non définies sont listées
- Le numéro de ligne exact est précisé
- Les faux positifs sont minimisés (<5%)
- Gestion correcte du scope des variables (local, global, nonlocal)
- Détection dans les fonctions et classes
- Gestion des imports et variables built-in",[EPIC] Analyse et Détection d'Erreurs,5,"user-story,variables,scope",Backend,,,,To Do,8h
[US] Détecter les Imports Inutilisés,Story,Medium,"En tant qu'enseignant, je veux identifier les imports non utilisés afin d'encourager un code propre et maintenable.

Critères d'acceptation:
- Tous les imports (import, from...import) sont analysés
- Les imports non référencés dans le code sont identifiés
- Liste claire avec ligne de chaque import inutilisé
- Distinction import module vs import fonction/classe
- Gestion des imports avec alias (as)
- Suggestion de suppression automatique",[EPIC] Analyse et Détection d'Erreurs,2,"user-story,imports,cleanup",Backend,,,,To Do,3h
[US] Analyser la Complexité Cyclomatique,Story,Medium,"En tant qu'enseignant, je veux mesurer la complexité cyclomatique du code afin d'identifier les fonctions trop complexes.

Critères d'acceptation:
- Calcul du score de complexité pour chaque fonction
- Alerte si complexité > 10
- Rapport détaillé par fonction
- Suggestions de refactoring
- Intégration dans le score de qualité",[EPIC] Analyse et Détection d'Erreurs,3,"user-story,complexity,metrics",Backend,,,,To Do,5h
[US] Détecter le Code Mort,Story,Low,"En tant que développeur, je veux identifier le code mort (dead code) afin de nettoyer le projet.

Critères d'acceptation:
- Détection des fonctions jamais appelées
- Identification du code après return
- Détection des branches if/else inaccessibles
- Rapport avec numéros de ligne
- Suggestions de suppression",[EPIC] Analyse et Détection d'Erreurs,3,"user-story,dead-code,cleanup",Backend,,,,To Do,5h
[US] Valider la Conformité PEP8,Story,Medium,"En tant qu'enseignant, je veux vérifier la conformité PEP8 afin d'encourager les bonnes pratiques.

Critères d'acceptation:
- Vérification de l'indentation (4 espaces)
- Longueur de ligne max 79 caractères
- Espaces autour des opérateurs
- Nommage des variables (snake_case)
- Imports organisés correctement
- Rapport détaillé avec suggestions",[EPIC] Analyse et Détection d'Erreurs,5,"user-story,pep8,style",Backend,,,,To Do,8h
[US] Détecter les Docstrings Manquantes,Story,Low,"En tant qu'enseignant, je veux identifier les fonctions sans docstring afin d'encourager la documentation.

Critères d'acceptation:
- Détection des fonctions/classes sans docstring
- Vérification du format des docstrings (Google/NumPy/Sphinx)
- Liste des fonctions à documenter
- Suggestion de template de docstring
- Score de documentation",[EPIC] Analyse et Détection d'Erreurs,2,"user-story,documentation,docstring",Backend,,,,To Do,3h
[US] Analyser les Dépendances du Code,Story,Medium,"En tant que système, je veux analyser les dépendances entre modules afin de détecter les couplages problématiques.

Critères d'acceptation:
- Graphe des dépendances généré
- Détection des imports circulaires
- Identification des modules fortement couplés
- Visualisation du graphe
- Suggestions de découplage",[EPIC] Analyse et Détection d'Erreurs,5,"user-story,dependencies,architecture",Backend,,,,To Do,8h
[US] Détecter les Erreurs de Type (Type Hints),Story,Medium,"En tant que développeur, je veux valider les type hints afin de prévenir les erreurs de type.

Critères d'acceptation:
- Vérification des annotations de type
- Détection des incohérences de type
- Support de mypy/pyright
- Rapport des erreurs de type
- Suggestions de correction",[EPIC] Analyse et Détection d'Erreurs,5,"user-story,typing,type-hints",Backend,,,,To Do,8h
[US] Corriger les Indentations Automatiquement,Story,High,"En tant qu'étudiant, je veux que mes erreurs d'indentation soient corrigées automatiquement afin de respecter PEP8.

Critères d'acceptation:
- Indentation à 4 espaces appliquée partout (PEP8)
- Conversion automatique des tabs en 4 espaces
- Cohérence dans tout le fichier
- Option pour prévisualiser avant application
- Préservation de la logique du code
- Backup automatique du fichier original",[EPIC] Correction Automatique,3,"user-story,indentation,formatting",Backend,,,,To Do,5h
[US] Corriger les Noms de Variables,Story,Medium,"En tant qu'étudiant, je veux recevoir des suggestions pour renommer mes variables afin de respecter les conventions Python.

Critères d'acceptation:
- Détection des noms non conformes (camelCase, PascalCase)
- Suggestions de noms plus descriptifs
- Refactoring automatique possible (renommer partout)
- Respect de PEP8 (snake_case)
- Conservation des constantes en MAJUSCULES
- Détection des noms réservés",[EPIC] Correction Automatique,5,"user-story,naming,refactoring",Backend,,,,To Do,8h
[US] Auto-complétion des Imports,Story,Medium,"En tant qu'étudiant, je veux que les imports manquants soient suggérés afin de corriger rapidement mon code.

Critères d'acceptation:
- Détection des symboles utilisés mais non importés
- Suggestion de l'import approprié
- Ajout automatique de l'import en haut du fichier
- Organisation alphabétique des imports
- Gestion des imports relatifs vs absolus",[EPIC] Correction Automatique,3,"user-story,imports,autocomplete",Backend,,,,To Do,5h
[US] Suggérer des Compréhensions de Liste,Story,Low,"En tant qu'étudiant, je veux recevoir des suggestions pour utiliser les compréhensions de liste afin d'écrire du code plus pythonique.

Critères d'acceptation:
- Détection des boucles for convertibles en compréhension
- Affichage de la version optimisée
- Explication pédagogique de l'amélioration
- Comparaison de performance (si significative)
- Gestion des conditions (if)
- Warning si compréhension trop complexe",[EPIC] Correction Automatique,5,"user-story,comprehension,optimization",Backend,,,,To Do,8h
[US] Corriger les Erreurs de Quotes,Story,Low,"En tant qu'étudiant, je veux que mes erreurs de quotes soient corrigées afin d'avoir un code cohérent.

Critères d'acceptation:
- Détection des strings avec quotes mixtes
- Standardisation sur simple quotes (') ou double quotes
- Gestion des f-strings
- Échappement automatique si nécessaire
- Preview avant application",[EPIC] Correction Automatique,2,"user-story,strings,formatting",Backend,,,,To Do,3h
[US] Optimiser les Boucles,Story,Medium,"En tant qu'étudiant, je veux recevoir des suggestions d'optimisation de boucles afin d'améliorer la performance.

Critères d'acceptation:
- Détection des boucles inefficaces
- Suggestion d'utiliser enumerate() au lieu de range(len())
- Suggestion de zip() pour itérer sur plusieurs listes
- Remplacement de boucles par fonctions built-in (sum, any, all)
- Explications pédagogiques",[EPIC] Correction Automatique,3,"user-story,optimization,loops",Backend,,,,To Do,5h
[US] Générer des Tests Unitaires,Story,Medium,"En tant que développeur, je veux générer automatiquement des squelettes de tests unitaires afin de faciliter le TDD.

Critères d'acceptation:
- Génération de tests pour chaque fonction
- Support pytest et unittest
- Création de fixtures basiques
- Cas de test nominaux et d'erreur
- Assertions pré-remplies avec TODOs",[EPIC] Correction Automatique,8,"user-story,testing,automation",Backend,,,,To Do,13h
[US] Refactoring de Fonctions Longues,Story,Medium,"En tant que développeur, je veux identifier et refactorer les fonctions trop longues afin d'améliorer la lisibilité.

Critères d'acceptation:
- Détection des fonctions > 50 lignes
- Suggestions de découpage en sous-fonctions
- Extraction automatique de blocs logiques
- Noms de fonctions suggestifs
- Preview du refactoring",[EPIC] Correction Automatique,5,"user-story,refactoring,clean-code",Backend,,,,To Do,8h
[US] Corriger les Erreurs Courantes de Débutants,Story,High,"En tant qu'enseignant, je veux que le système corrige les erreurs courantes de débutants afin de faciliter l'apprentissage.

Critères d'acceptation:
- Détection de l'utilisation de == au lieu de = pour assignation
- Correction de l'indentation après :
- Suggestion d'utiliser is pour None au lieu de ==
- Détection de l'appel de print sans parenthèses (Python 2)
- Messages pédagogiques adaptés aux débutants",[EPIC] Correction Automatique,3,"user-story,beginner,education",Backend,,,,To Do,5h
[US] Formater le Code avec Black,Story,Medium,"En tant qu'étudiant, je veux formater automatiquement mon code avec Black afin d'avoir un style cohérent.

Critères d'acceptation:
- Intégration de Black formatter
- Application automatique du formatage
- Configuration personnalisable (line length)
- Preview avant application
- Rapport des changements effectués",[EPIC] Correction Automatique,2,"user-story,formatting,black",Backend,,,,To Do,3h
[US] Générer un Score de Qualité,Story,High,"En tant qu'enseignant, je veux attribuer un score de qualité au code afin d'évaluer objectivement le travail.

Critères d'acceptation:
- Score sur 100 points
- Critères: syntaxe (25%), style (25%), logique (25%), complexité (25%)
- Pondération configurable
- Détail par catégorie avec justification
- Évolution du score visible dans le temps
- Seuils: Excellent (>85), Bon (70-85), Moyen (50-70), Faible (<50)",[EPIC] Feedback Pédagogique,8,"user-story,scoring,evaluation",Backend,,,,To Do,13h
[US] Afficher l'Historique des Corrections,Story,Medium,"En tant qu'étudiant, je veux voir l'historique de mes corrections afin de ne pas répéter les mêmes erreurs.

Critères d'acceptation:
- Liste chronologique des soumissions (plus récent d'abord)
- Comparaison avant/après pour chaque correction
- Statistiques d'amélioration (score, erreurs résolues)
- Filtrage par date, type d'erreur
- Export en PDF pour portfolio
- Pagination (50 dernières soumissions)",[EPIC] Feedback Pédagogique,5,"user-story,history,tracking",Frontend,,,,To Do,8h
[US] Générer des Graphiques de Progression,Story,Medium,"En tant qu'étudiant, je veux visualiser ma progression avec des graphiques afin de me motiver.

Critères d'acceptation:
- Graphique d'évolution du score dans le temps (line chart)
- Répartition des types d'erreurs (pie chart)
- Comparaison avec la moyenne de la classe (bar chart)
- Évolution du nombre d'erreurs (area chart)
- Interface interactive (zoom, hover tooltips)
- Export des graphiques en PNG/SVG",[EPIC] Feedback Pédagogique,3,"user-story,charts,visualization",Frontend,,,,To Do,5h
[US] Dashboard Enseignant,Story,High,"En tant qu'enseignant, je veux un dashboard récapitulatif afin de suivre la progression de tous mes étudiants.

Critères d'acceptation:
- Vue d'ensemble de la classe
- Scores moyens par exercice
- Identification des étudiants en difficulté
- Erreurs les plus fréquentes de la classe
- Export des statistiques en Excel/CSV
- Filtres par groupe, exercice, période",[EPIC] Feedback Pédagogique,8,"user-story,dashboard,teacher",Frontend,,,,To Do,13h
[US] Recommandations Personnalisées,Story,Medium,"En tant qu'étudiant, je veux recevoir des recommandations personnalisées afin de progresser efficacement.

Critères d'acceptation:
- Analyse des erreurs récurrentes de l'étudiant
- Suggestions de ressources (tutoriels, exercices)
- Plan d'amélioration personnalisé
- Objectifs SMART définis
- Suivi de la progression sur les objectifs",[EPIC] Feedback Pédagogique,5,"user-story,recommendations,ai",Backend,,,,To Do,8h
[US] Badges et Achievements,Story,Low,"En tant qu'étudiant, je veux débloquer des badges afin de rester motivé dans mon apprentissage.

Critères d'acceptation:
- Système de badges pour accomplissements
- Badges: Premier code parfait, 10 corrections, Semaine sans erreur, etc.
- Affichage des badges sur le profil
- Notifications de déblocage
- Classement optionnel (leaderboard)",[EPIC] Feedback Pédagogique,3,"user-story,gamification,badges",Frontend,,,,To Do,5h
[US] Rapport Détaillé PDF,Story,Medium,"En tant qu'étudiant, je veux générer un rapport PDF détaillé afin de conserver une trace de mon travail.

Critères d'acceptation:
- Export PDF avec logo et mise en forme
- Résumé du code soumis
- Liste des erreurs et corrections
- Score de qualité détaillé
- Graphiques de progression
- Recommandations personnalisées",[EPIC] Feedback Pédagogique,5,"user-story,pdf,export",Backend,,,,To Do,8h
[US] Notifications par Email,Story,Low,"En tant qu'étudiant, je veux recevoir des notifications par email afin d'être informé de mes résultats.

Critères d'acceptation:
- Email après chaque soumission
- Résumé du score et des erreurs principales
- Lien vers le rapport détaillé
- Fréquence configurable (immédiat, quotidien, hebdomadaire)
- Option de désabonnement",[EPIC] Feedback Pédagogique,2,"user-story,email,notifications",Backend,,,,To Do,3h
